fold num,imgid,feature1,feature2,feature3,label
"0   NaN
Name: fold num, dtype: float64",1.jpg,39425.5,0,933.7615353,0
"1   NaN
Name: fold num, dtype: float64",2.jpg,39270.5,0,842.2813064,0
"2   NaN
Name: fold num, dtype: float64",3.jpg,36300,0,988.0041759,0
"3   NaN
Name: fold num, dtype: float64",4.jpg,213.5,0,1592.403232,0
"4   NaN
Name: fold num, dtype: float64",5.jpg,196,0,1644.846884,0
"5   NaN
Name: fold num, dtype: float64",6.jpg,181,0,1549.876321,0
"6   NaN
Name: fold num, dtype: float64",7.jpg,29747.5,0,788.0802959,0
"7   NaN
Name: fold num, dtype: float64",8.jpg,31967.5,0,964.5899624,0
"8   NaN
Name: fold num, dtype: float64",9.jpg,36382.5,0,1032.874233,0
"9   NaN
Name: fold num, dtype: float64",10.jpg,234,0,1762.469248,0
"10   NaN
Name: fold num, dtype: float64",11.jpg,31259.5,0,881.4772645,0
"11   NaN
Name: fold num, dtype: float64",12.jpg,121.5,0,897.0752436,0
"12   NaN
Name: fold num, dtype: float64",13.jpg,33855.5,0,964.6488374,0
"13   NaN
Name: fold num, dtype: float64",14.jpg,37829.5,0,889.8204104,0
"14   NaN
Name: fold num, dtype: float64",15.jpg,34151,0,845.0336134,0
"15   NaN
Name: fold num, dtype: float64",16.jpg,204.5,0,1819.31492,0
"16   NaN
Name: fold num, dtype: float64",17.jpg,36228,0,855.9209156,0
"17   NaN
Name: fold num, dtype: float64",18.jpg,215.5,0,1752.084472,0
"18   NaN
Name: fold num, dtype: float64",19.jpg,37224.5,0,1022.388952,0
"19   NaN
Name: fold num, dtype: float64",20.jpg,219,0,1693.900706,0
"20   NaN
Name: fold num, dtype: float64",21.jpg,255.5,0,1853.765711,0
"21   NaN
Name: fold num, dtype: float64",22.jpg,36942,0,964.430582,0
"22   NaN
Name: fold num, dtype: float64",23.jpg,208,0,1838.871269,0
"23   NaN
Name: fold num, dtype: float64",24.jpg,163.5,0,1495.751431,0
"24   NaN
Name: fold num, dtype: float64",25.jpg,31229,0,913.3767593,0
"25   NaN
Name: fold num, dtype: float64",26.jpg,35263.5,0,1045.158504,0
"26   NaN
Name: fold num, dtype: float64",27.jpg,190,0,1623.675311,0
"27   NaN
Name: fold num, dtype: float64",28.jpg,253,0,2054.576893,0
"28   NaN
Name: fold num, dtype: float64",29.jpg,283,0,2130.802289,0
"29   NaN
Name: fold num, dtype: float64",30.jpg,255.5,0,1893.623576,0
"30   NaN
Name: fold num, dtype: float64",31.jpg,199,0,1385.675311,0
"31   NaN
Name: fold num, dtype: float64",32.jpg,32122.5,0,850.6488374,0
"32   NaN
Name: fold num, dtype: float64",33.jpg,245.5,0,1520.084472,0
"33   NaN
Name: fold num, dtype: float64",34.jpg,138.5,0,1121.928056,0
"34   NaN
Name: fold num, dtype: float64",35.jpg,35464,0,953.1168737,0
"35   NaN
Name: fold num, dtype: float64",36.jpg,40797,0,910.0041759,0
"36   NaN
Name: fold num, dtype: float64",37.jpg,122.5,0,900.9331082,0
"37   NaN
Name: fold num, dtype: float64",38.jpg,265.5,0,1922.535263,0
"38   NaN
Name: fold num, dtype: float64",39.jpg,32669,0,822.6072073,0
"39   NaN
Name: fold num, dtype: float64",40.jpg,117,0,1068.489457,0
"40   NaN
Name: fold num, dtype: float64",41.jpg,29843.5,0,873.3940042,0
"41   NaN
Name: fold num, dtype: float64",42.jpg,271,0,1935.748466,0
"42   NaN
Name: fold num, dtype: float64",43.jpg,30087.5,0,788.7077125,0
"43   NaN
Name: fold num, dtype: float64",44.jpg,35812.5,0,919.9625458,0
"44   NaN
Name: fold num, dtype: float64",45.jpg,36099.5,0,888.5067021,0
"45   NaN
Name: fold num, dtype: float64",46.jpg,649,0,2286.223643,0
"46   NaN
Name: fold num, dtype: float64",47.jpg,217.5,0,1785.599191,0
"47   NaN
Name: fold num, dtype: float64",48.jpg,149,0,1340.396092,0
"48   NaN
Name: fold num, dtype: float64",49.jpg,245,0,1886.978914,0
"49   NaN
Name: fold num, dtype: float64",50.jpg,221.5,0,1821.824586,0
